fecha,experimento,hora,,co2,ch4
2025-09-11,,09:55:53,,3278,13100
2025-09-11,,09:56:54,,3948,15900
2025-09-11,,09:57:24,,4251,17600
2025-09-11,,09:57:53,,4532,19200
2025-09-11,,09:58:24,,4793,21300
2025-09-11,,09:58:53,,5045,22500
2025-09-11,,09:59:24,,5297,24000
2025-09-11,,10:00:22,,6000,27200
2025-09-11,,10:00:53,,6000,27500
2025-09-11,,10:01:22,,1336,4300
,,,,,
2025-09-11,,10:01:53,,991,0
2025-09-11,,10:02:22,,938,0
2025-09-11,,10:02:53,,937,0
2025-09-11,,10:03:23,,964,0
2025-09-11,,10:03:53,,1130,0
2025-09-11,,10:04:23,,1423,4400
2025-09-11,,10:04:53,,1475,6700
2025-09-11,,10:05:23,,1660,8200
2025-09-11,,10:05:53,,1844,9200
2025-09-11,,10:06:23,,2043,10100
2025-09-11,,10:06:53,,2280,10900
2025-09-11,,10:07:23,,2504,11600
2025-09-11,,10:07:53,,2887,12300
2025-09-11,,10:08:24,,3085,13000
2025-09-11,,10:08:54,,3250,13700
2025-09-11,,10:09:23,,3422,14400
2025-09-11,,10:09:53,,3564,15200
2025-09-11,,10:10:24,,3712,16100
2025-09-11,,10:10:53,,3874,17000
2025-09-11,,10:11:23,,4105,17900
2025-09-11,,10:11:53,,4344,18800
2025-09-11,,10:12:31,,4527,19800
2025-09-11,,10:12:54,,4741,20700
2025-09-11,,10:13:25,,4951,21600
2025-09-11,,10:13:55,,5174,22400
2025-09-11,,10:14:24,,5399,23300
2025-09-11,,10:14:56,,5639,24200
2025-09-11,,10:15:25,,5855,25000
2025-09-11,,10:15:55,,6000,26000
,,,,,
2025-09-11,,10:16:24,,5936,16500
,,,,,
2025-09-11,,10:16:59,,1298,4800
,,,,,
2025-09-11,,10:17:24,,1117,4300
2025-09-11,,10:17:55,,1195,4300
2025-09-11,,10:18:25,,1233,4700
2025-09-11,,10:18:55,,1277,5200
2025-09-11,,10:19:25,,1317,5700
2025-09-11,,10:19:59,,1352,6100
2025-09-11,,10:20:24,,1392,6500
2025-09-11,,10:21:24,,1474,7300
2025-09-11,,10:21:54,,1504,7800
2025-09-11,,10:22:24,,1530,8200
2025-09-11,,10:22:55,,1563,8700
2025-09-11,,10:23:24,,1594,9000
2025-09-11,,10:23:55,,1621,9300
2025-09-11,,10:24:24,,1639,9600
2025-09-11,,10:24:58,,1685,10000
2025-09-11,,10:25:26,,1718,10300
2025-09-11,,10:25:55,,1746,10700
2025-09-11,,10:26:25,,1784,11000
2025-09-11,,10:26:57,,1826,11300
2025-09-11,,10:27:25,,1856,11600
2025-09-11,,10:27:55,,1881,11900
2025-09-11,,10:28:25,,1909,12100
2025-09-11,,10:28:55,,1943,12300
2025-09-11,,10:29:25,,1970,12600
2025-09-11,,10:29:55,,2001,12800
2025-09-11,,10:30:25,,2032,13000
2025-09-11,,10:30:55,,2065,13300
2025-09-11,,10:31:25,,1815,1600
2025-09-11,,10:31:55,,1116,0
,,,,,
2025-09-11,,10:32:26,,982,0
2025-09-11,,10:32:55,,955,0
2025-09-11,,10:33:26,,926,0
2025-09-11,,10:33:55,,941,0
2025-09-11,,10:34:26,,957,800
2025-09-11,,10:34:55,,969,4800
2025-09-11,,10:35:26,,982,7100
2025-09-11,,10:35:55,,1002,8800
2025-09-11,,10:36:26,,1040,9900
2025-09-11,,10:36:55,,1070,10600
2025-09-11,,10:37:26,,1108,11100
2025-09-11,,10:37:56,,1140,11500
2025-09-11,,10:38:26,,1177,11800
2025-09-11,,10:38:56,,1207,12100
2025-09-11,,10:39:26,,1244,12400
2025-09-11,,10:39:56,,1273,12600
2025-09-11,,10:40:26,,1300,12800
2025-09-11,,10:40:56,,1336,12900
2025-09-11,,10:41:26,,1363,13000
2025-09-11,,10:41:56,,1387,13200
2025-09-11,,10:42:26,,1412,13300
2025-09-11,,10:42:56,,1444,13400
2025-09-11,,10:43:26,,1470,13500
2025-09-11,,10:43:56,,1491,13500
2025-09-11,,10:44:26,,1514,13600
2025-09-11,,10:44:56,,1538,13600
2025-09-11,,10:45:26,,1560,13700
2025-09-11,,10:45:56,,1582,13800
2025-09-11,,10:46:26,,1604,13800
2025-09-11,,10:46:56,,1625,13800
2025-09-11,,10:47:26,,1647,13900
2025-09-11,,10:47:56,,1667,14100
2025-09-11,,10:48:27,,1688,14300
2025-09-11,,10:48:57,,1706,14500
2025-09-11,,10:49:27,,1696,6200
,,,,,
2025-09-13,,10:17:09,,400,0
2025-09-13,,10:17:39,,1025,0
2025-09-13,,10:18:09,,912,0
2025-09-13,,10:18:40,,907,0
2025-09-13,,10:19:09,,930,0
2025-09-13,,10:19:40,,943,0
2025-09-13,,10:20:09,,942,0
2025-09-13,,10:20:39,,951,0
2025-09-13,,10:21:09,,983,0
2025-09-13,,10:21:40,,1058,0
2025-09-13,,10:22:10,,1198,0
2025-09-13,,10:22:40,,1402,0
2025-09-13,,10:23:09,,1645,0
2025-09-13,,10:23:39,,1919,600
2025-09-13,,10:24:10,,2204,1200
2025-09-13,,10:24:40,,2681,1800
2025-09-13,,10:25:10,,2788,2200
2025-09-13,,10:25:40,,2897,2600
2025-09-13,,10:26:10,,3023,2800
2025-09-13,,10:26:40,,3162,3200
2025-09-13,,10:27:10,,3298,3400
2025-09-13,,10:27:40,,3421,3600
2025-09-13,,10:28:10,,3547,3800
2025-09-13,,10:28:40,,3670,4000
2025-09-13,,10:29:10,,3781,4200
2025-09-13,,10:29:40,,3882,4300
2025-09-13,,10:30:11,,3972,4400
2025-09-13,,10:30:40,,4082,4500
2025-09-13,,10:31:11,,4170,4600
2025-09-13,,10:31:40,,4269,4800
2025-09-13,,10:32:10,,4355,4800
2025-09-13,,10:32:40,,4448,4900
2025-09-13,,10:33:10,,4539,5100
2025-09-13,,10:33:41,,4649,5200
2025-09-13,,10:34:13,,4776,5300
2025-09-13,,10:34:40,,4896,5400
2025-09-13,,10:35:10,,4985,5500
2025-09-13,,10:35:40,,5064,5600
2025-09-13,,10:36:12,,5147,5800
2025-09-13,,10:36:41,,5221,5900
2025-09-13,,10:37:40,,5363,6100
2025-09-13,,10:38:12,,5446,6200
2025-09-13,,10:38:41,,5526,6300
2025-09-13,,10:39:41,,5689,6500
2025-09-13,,10:40:12,,5775,6600
2025-09-13,,10:40:41,,5851,6700
2025-09-13,,10:41:11,,5936,6800
2025-09-13,,10:41:41,,6000,6900
2025-09-13,,10:42:11,,6000,7100
,,,,,
2025-09-13,,10:44:11,,816,0
2025-09-13,,10:44:41,,819,0
2025-09-13,,10:45:11,,839,0
2025-09-13,,10:45:41,,843,0
2025-09-13,,10:46:11,,954,0
2025-09-13,,10:46:41,,912,0
2025-09-13,,10:47:11,,884,0
2025-09-13,,10:47:41,,888,0
2025-09-13,,10:48:11,,859,0
2025-09-13,,10:48:41,,880,0
2025-09-13,,10:49:11,,899,0
2025-09-13,,10:49:41,,942,0
2025-09-13,,10:50:11,,964,0
2025-09-13,,10:50:41,,985,0
2025-09-13,,10:51:11,,1035,0
2025-09-13,,10:51:41,,1104,0
2025-09-13,,10:52:41,,1251,0
2025-09-13,,10:53:11,,1321,0
2025-09-13,,10:53:42,,1402,0
2025-09-13,,10:54:12,,1506,0
2025-09-13,,10:54:42,,1611,0
2025-09-13,,10:55:12,,1696,400
2025-09-13,,10:55:42,,1764,800
2025-09-13,,10:56:42,,1890,1400
2025-09-13,,10:57:16,,1955,1800
2025-09-13,,10:57:42,,2038,2200
2025-09-13,,10:58:12,,2127,2400
2025-09-13,,10:58:42,,2216,2800
2025-09-13,,10:59:12,,2290,3200
2025-09-13,,10:59:42,,2380,3400
2025-09-13,,11:00:12,,2462,3600
2025-09-13,,11:00:42,,2548,4000
2025-09-13,,11:01:12,,2622,4200
2025-09-13,,11:01:42,,2707,4300
2025-09-13,,11:02:12,,2785,4500
2025-09-13,,11:02:42,,2863,4600
2025-09-13,,11:03:12,,2947,4800
2025-09-13,,11:03:43,,3038,4900
2025-09-13,,11:04:13,,3124,5100
2025-09-13,,11:04:42,,3212,5300
2025-09-13,,11:05:13,,3312,5500
2025-09-13,,11:05:43,,3406,5700
2025-09-13,,11:06:13,,3499,5900
2025-09-13,,11:06:43,,3591,6100
2025-09-13,,11:07:13,,3674,6300
2025-09-13,,11:07:43,,3760,6500
2025-09-13,,11:08:13,,3847,6700
2025-09-13,,11:08:43,,3932,6900
2025-09-13,,11:09:14,,4018,7100
2025-09-13,,11:09:43,,4119,7300
2025-09-13,,11:10:13,,4216,7500
2025-09-13,,11:10:43,,4314,7700
2025-09-13,,11:11:13,,4413,7900
2025-09-13,,11:11:43,,4499,8100
2025-09-13,,11:12:13,,4603,8200
2025-09-13,,11:12:43,,4697,8400
2025-09-13,,11:13:13,,4785,8600
2025-09-13,,11:13:43,,4882,8800
2025-09-13,,11:14:13,,4963,8900
2025-09-13,,11:14:43,,5055,9100
2025-09-13,,11:15:13,,5143,9300
2025-09-13,,11:15:44,,5225,9500
2025-09-13,,11:16:13,,5319,9700
2025-09-13,,11:16:43,,5406,9800
2025-09-13,,11:17:13,,5503,10000
2025-09-13,,11:17:43,,5584,10100
2025-09-13,,11:18:13,,5670,10300
2025-09-13,,11:18:44,,5755,10500
2025-09-13,,11:19:14,,5846,10600
2025-09-13,,11:19:43,,5946,10700
2025-09-13,,11:20:13,,6000,10900
2025-09-13,,11:20:44,,6000,11100
,,,,,
2025-09-13,,11:24:17,,831,0
2025-09-13,,11:24:46,,838,0
2025-09-13,,11:25:16,,856,0
2025-09-13,,11:25:47,,903,0
2025-09-13,,11:26:16,,871,0
2025-09-13,,11:26:46,,849,0
2025-09-13,,11:27:17,,870,0
2025-09-13,,11:27:48,,910,0
2025-09-13,,11:28:17,,882,0
2025-09-13,,11:28:47,,878,0
2025-09-13,,11:29:17,,887,0
2025-09-13,,11:29:47,,879,0
2025-09-13,,11:30:17,,880,0
2025-09-13,,11:30:47,,879,0
2025-09-13,,11:31:17,,894,0
2025-09-13,,11:31:47,,913,0
2025-09-13,,11:32:21,,960,0
2025-09-13,,11:32:47,,1034,0
2025-09-13,,11:33:17,,1133,0
2025-09-13,,11:33:47,,1233,0
2025-09-13,,11:34:17,,1329,0
2025-09-13,,11:34:47,,1427,200
2025-09-13,,11:35:17,,1519,600
2025-09-13,,11:35:47,,1598,1200
2025-09-13,,11:36:17,,1673,1600
2025-09-13,,11:36:47,,1739,2200
2025-09-13,,11:37:17,,1797,2600
2025-09-13,,11:37:47,,1860,3200
2025-09-13,,11:38:17,,1911,3600
2025-09-13,,11:38:47,,1962,4100
2025-09-13,,11:39:20,,2016,4300
2025-09-13,,11:39:47,,2056,4500
2025-09-13,,11:40:18,,2128,4600
2025-09-13,,11:40:48,,2188,4800
2025-09-13,,11:41:18,,2244,5100
2025-09-13,,11:41:48,,2289,5300
2025-09-13,,11:42:18,,2342,5600
2025-09-13,,11:42:48,,2395,6000
2025-09-13,,11:43:18,,2442,6300
2025-09-13,,11:43:48,,2496,6600
2025-09-13,,11:44:18,,2544,6900
2025-09-13,,11:44:48,,2594,7200
2025-09-13,,11:45:18,,2648,7400
2025-09-13,,11:45:48,,2697,7700
2025-09-13,,11:46:18,,2744,7900
2025-09-13,,11:46:48,,2795,8100
2025-09-13,,11:47:18,,2842,8400
2025-09-13,,11:47:48,,2896,8500
2025-09-13,,11:48:18,,2946,8800
2025-09-13,,11:48:48,,2988,9000
2025-09-13,,11:49:18,,3044,9100
2025-09-13,,11:49:48,,3093,9300
2025-09-13,,11:50:18,,3146,9500
2025-09-13,,11:50:48,,3200,9600
2025-09-13,,11:51:18,,3248,9800
2025-09-13,,11:51:48,,3303,9900
,,,,,
2025-09-13,,11:52:48,,885,0
2025-09-13,,11:53:18,,895,0
2025-09-13,,11:53:49,,951,0
2025-09-13,,11:54:18,,972,0
2025-09-13,,11:54:48,,991,0
2025-09-13,,11:55:19,,1011,0
2025-09-13,,11:55:48,,1042,0
2025-09-13,,11:56:18,,1079,0
2025-09-13,,11:56:49,,1121,0
2025-09-13,,11:57:19,,1155,0
2025-09-13,,11:57:49,,1194,0
2025-09-13,,11:58:23,,1232,600
2025-09-13,,11:58:51,,1272,1000
2025-09-13,,11:59:21,,1307,1600
2025-09-13,,11:59:51,,1348,2000
2025-09-13,,12:00:20,,1388,2600
2025-09-13,,12:00:50,,1424,3000
2025-09-13,,12:01:20,,1459,3600
2025-09-13,,12:01:49,,1499,4000
2025-09-13,,12:02:19,,1529,4200
2025-09-13,,12:02:49,,1569,4400
2025-09-13,,12:03:19,,1599,4600
2025-09-13,,12:03:49,,1633,4800
2025-09-13,,12:04:19,,1662,5000
2025-09-13,,12:04:49,,1696,5300
2025-09-13,,12:05:20,,1725,5500
2025-09-13,,12:05:51,,1753,5700
2025-09-13,,12:06:19,,1785,5900
2025-09-13,,12:06:49,,1812,6100
2025-09-13,,12:07:20,,1844,6300
2025-09-13,,12:07:50,,1874,6500
2025-09-13,,12:08:49,,1923,6900
2025-09-13,,12:09:50,,1986,7200
2025-09-13,,12:10:52,,2051,7600
2025-09-13,,12:11:21,,2086,7700
2025-09-13,,12:12:50,,2173,8200
2025-09-13,,12:13:20,,2206,8400
2025-09-13,,12:13:50,,2233,8500
2025-09-13,,12:14:21,,2265,8600
2025-09-13,,12:14:50,,2295,8800
2025-09-13,,12:15:20,,2326,8900
2025-09-13,,12:15:50,,2362,9100
2025-09-13,,12:16:50,,2404,9300
2025-09-13,,12:17:20,,2425,9400
2025-09-13,,12:17:50,,2445,9600
2025-09-13,,12:18:20,,2468,9700
2025-09-13,,12:18:50,,2491,9800
2025-09-13,,12:19:24,,2512,9900
2025-09-13,,12:19:50,,2536,10000
2025-09-13,,12:20:20,,2562,10100
2025-09-13,,12:20:51,,2593,10200
2025-09-13,,12:21:23,,2623,10300
2025-09-13,,12:21:51,,2648,10400
2025-09-13,,12:22:21,,2679,10600
2025-09-13,,12:22:51,,2705,10700
,,,,,
2025-09-17,,13:22:40,,820,5400
2025-09-17,,13:23:10,,855,4500
2025-09-17,,13:23:40,,895,3800
2025-09-17,,13:24:23,,921,4700
2025-09-17,,13:24:53,,956,5500
2025-09-17,,13:25:23,,990,6400
2025-09-17,,13:25:53,,1028,7400
2025-09-17,,13:26:24,,1065,8300
2025-09-17,,13:26:54,,1100,9200
2025-09-17,,13:27:23,,1139,10000
2025-09-17,,13:27:54,,1174,10900
2025-09-17,,13:28:24,,1205,11800
2025-09-17,,13:28:54,,1251,12700
2025-09-17,,13:29:24,,1282,13500
2025-09-17,,13:29:54,,1326,14400
2025-09-17,,13:30:24,,1368,15300
2025-09-17,,13:30:54,,1410,16400
2025-09-17,,13:31:24,,1454,17600
2025-09-17,,13:31:54,,1495,18700
2025-09-17,,13:32:24,,1545,19800
2025-09-17,,13:32:54,,1584,20800
2025-09-17,,13:33:27,,1631,21900
2025-09-17,,13:33:57,,1675,22900
2025-09-17,,13:34:24,,1720,23900
2025-09-17,,13:34:54,,1765,24900
2025-09-17,,13:35:24,,1807,26100
2025-09-17,,13:35:55,,1845,27300
2025-09-17,,13:36:24,,1882,28400
2025-09-17,,13:36:54,,1921,29500
2025-09-17,,13:37:24,,1952,30600
2025-09-17,,13:37:54,,1989,31700
2025-09-17,,13:38:27,,2035,33000
2025-09-17,,13:38:55,,2082,34100
2025-09-17,,13:39:24,,2128,35400
2025-09-17,,13:39:55,,2179,36700
2025-09-17,,13:40:24,,2226,37900
2025-09-17,,13:40:55,,2279,38900
2025-09-17,,13:41:26,,2320,40200
2025-09-17,,13:41:55,,2372,41300
2025-09-17,,13:42:25,,2421,42400
2025-09-17,,13:42:55,,2470,43500
2025-09-17,,13:43:26,,2226,9600
,,,,,
2025-09-17,,13:44:25,,952,0
2025-09-17,,13:44:55,,913,0
2025-09-17,,13:45:25,,927,0
2025-09-17,,13:45:55,,944,0
2025-09-17,,13:46:25,,966,0
2025-09-17,,13:46:55,,1032,0
2025-09-17,,13:47:26,,1115,1000
2025-09-17,,13:47:55,,1207,2000
2025-09-17,,13:48:25,,1289,2800
2025-09-17,,13:48:55,,1363,3600
2025-09-17,,13:49:25,,1438,4100
2025-09-17,,13:49:55,,1502,4500
2025-09-17,,13:50:25,,1565,4800
2025-09-17,,13:50:55,,1619,5100
2025-09-17,,13:51:25,,1670,5500
2025-09-17,,13:51:55,,1719,5800
2025-09-17,,13:52:26,,1767,6200
2025-09-17,,13:52:55,,1821,6500
2025-09-17,,13:53:25,,1861,6900
2025-09-17,,13:53:56,,1905,7200
2025-09-17,,13:54:25,,1939,7600
2025-09-17,,13:54:56,,1983,7900
2025-09-17,,13:55:25,,2037,8200
2025-09-17,,13:55:56,,2094,8300
2025-09-17,,13:56:25,,2138,8500
2025-09-17,,13:56:56,,2184,8600
2025-09-17,,13:57:26,,2239,8900
2025-09-17,,13:57:56,,2282,9200
2025-09-17,,13:58:26,,2331,9400
2025-09-17,,13:58:56,,2386,9600
2025-09-17,,13:59:26,,2432,9700
2025-09-17,,13:59:56,,2473,9800
2025-09-17,,14:00:26,,2518,9900
2025-09-17,,14:00:56,,2564,10200
2025-09-17,,14:01:26,,2600,10300
2025-09-17,,14:01:56,,2649,10400
2025-09-17,,14:02:26,,2692,10600
2025-09-17,,14:02:56,,2729,10700
2025-09-17,,14:03:27,,2773,10900
2025-09-17,,14:03:56,,2812,11000
2025-09-17,,14:04:26,,2833,10600
,,,,,
2025-09-17,,14:04:56,,838,0
2025-09-17,,14:05:26,,784,0
2025-09-17,,14:05:56,,785,0
2025-09-17,,14:06:26,,800,0
2025-09-17,,14:06:56,,812,0
2025-09-17,,14:07:26,,828,0
2025-09-17,,14:07:57,,841,0
2025-09-17,,14:08:26,,852,0
2025-09-17,,14:08:57,,863,0
2025-09-17,,14:09:26,,872,0
2025-09-17,,14:09:57,,884,0
2025-09-17,,14:10:27,,898,200
2025-09-17,,14:10:57,,910,800
2025-09-17,,14:11:27,,922,1400
2025-09-17,,14:11:57,,933,2200
2025-09-17,,14:12:27,,943,2800
2025-09-17,,14:12:57,,956,3400
2025-09-17,,14:13:27,,970,4000
2025-09-17,,14:13:57,,983,4200
2025-09-17,,14:14:27,,996,4500
2025-09-17,,14:14:57,,1012,4800
2025-09-17,,14:15:27,,1030,5100
2025-09-17,,14:15:57,,1045,5500
2025-09-17,,14:16:27,,1065,5800
2025-09-17,,14:16:57,,1102,6200
2025-09-17,,14:17:27,,1125,6500
2025-09-17,,14:17:57,,1146,6800
2025-09-17,,14:18:27,,1169,7100
2025-09-17,,14:18:57,,1195,7400
2025-09-17,,14:19:27,,1228,7700
2025-09-17,,14:19:57,,1257,7900
2025-09-17,,14:20:27,,1284,8200
2025-09-17,,14:20:57,,1310,8500
