t_h,T_cama_C,T_aire_C,CO2_ppm,CH4_ppm,T_cama_sensor,T_aire_sensor,CO2_sensor_ppm,CH4_sensor_ppm
1.460000000000000000e+02,2.777591597156733982e+01,2.622275606789745694e+01,9.433563957799158743e+03,2.000001430553111970e+00,2.759228693184939729e+01,2.633891148696341489e+01,9.297369390165933510e+03,2.147296893128984863e+00
1.470000000000000000e+02,2.783526817717921276e+01,2.624890087170979314e+01,9.549456426651318907e+03,2.000001641473153846e+00,2.779303091125429859e+01,2.623754423283125448e+01,9.961356073820608799e+03,1.754914227467105015e+00
1.480000000000000000e+02,2.789541503518968568e+01,2.627539574293241031e+01,9.666807750305013542e+03,2.000001555988859092e+00,2.821520910442598051e+01,2.624131422669956848e+01,9.329799773099899539e+03,1.858233028677863441e+00
1.490000000000000000e+02,2.795635572752122755e+01,2.630224032298685444e+01,9.785603692785225576e+03,2.000000967017891984e+00,2.800347029775483065e+01,2.614634384364176967e+01,9.164221445019336898e+03,1.881293866984537821e+00
1.500000000000000000e+02,2.801808783888467502e+01,2.632943355150002063e+01,9.905822914898220915e+03,2.000000632038668069e+00,2.797049738777306871e+01,2.641549382329153062e+01,9.352529663408766282e+03,1.963674555802048749e+00
1.510000000000000000e+02,2.808060869968735318e+01,2.635697425461229315e+01,1.002744616813530592e+04,2.000000452663927675e+00,2.776991257383960843e+01,2.618666681677514063e+01,1.003620312080295116e+04,1.974539629924727979e+00
1.520000000000000000e+02,2.814391429254779098e+01,2.638486066498267135e+01,1.015045037659672744e+04,2.000000540531353899e+00,2.764150940913648213e+01,2.651797771224535794e+01,1.015986510549023842e+04,1.849267935016210451e+00
1.530000000000000000e+02,2.820799843549007946e+01,2.641309005905433693e+01,1.027481145956130240e+04,2.000000350610227962e+00,2.806210606276808051e+01,2.663014745994351884e+01,1.023855857860857759e+04,1.901484530108821236e+00
1.540000000000000000e+02,2.827285509436463329e+01,2.644165978116582139e+01,1.040050119687170081e+04,2.000000019971537757e+00,2.825672032911913689e+01,2.651496606261326860e+01,1.077934667994170923e+04,1.913915851259564205e+00
1.550000000000000000e+02,2.833847625245372726e+01,2.647056630262275689e+01,1.052748723170919766e+04,1.999999587793299227e+00,2.886885522652769254e+01,2.641331655591161720e+01,9.683340320700281154e+03,2.245741946352554308e+00
1.560000000000000000e+02,2.840485166604888789e+01,2.649980511660705673e+01,1.065572985462329234e+04,1.999999411309953512e+00,2.844393402249075464e+01,2.659059823246879617e+01,1.078229878681016635e+04,2.180173553051290458e+00
1.570000000000000000e+02,2.847197135103339960e+01,2.652937182697115404e+01,1.078519261770178855e+04,1.999999407693566766e+00,2.876679320434031695e+01,2.646763721586187046e+01,1.129040497071447317e+04,1.958824478119193246e+00
1.580000000000000000e+02,2.853982334239471541e+01,2.655926116622036659e+01,1.091583362101192324e+04,1.999999624198881110e+00,2.839003466283297072e+01,2.674637059131339711e+01,1.054651360529585872e+04,1.963641301999951461e+00
1.590000000000000000e+02,2.860839261806588851e+01,2.658946651750260060e+01,1.104760681117913555e+04,1.999999783462361513e+00,2.825290948814078007e+01,2.622318530065957631e+01,1.092172822098172765e+04,1.885079396185828093e+00
1.600000000000000000e+02,2.867766474490683848e+01,2.661998152659171879e+01,1.118046408178928505e+04,1.999999960472643279e+00,2.838812971623712755e+01,2.655286005296798990e+01,1.092793365064796308e+04,1.809186922921284246e+00
1.610000000000000000e+02,2.874762325545053798e+01,2.665079894207866928e+01,1.131435376216639088e+04,2.000000095495811259e+00,2.853005543608981043e+01,2.625263654305387107e+01,1.101078533563291239e+04,1.988312076296880448e+00
1.620000000000000000e+02,2.881824886195676427e+01,2.668191026820404588e+01,1.144922338585116086e+04,2.000000241811300761e+00,2.945678978168731277e+01,2.638289810215860598e+01,1.133715998851642689e+04,1.900215031422304079e+00
1.630000000000000000e+02,2.888952212071416525e+01,2.671330694221859403e+01,1.158501521527018485e+04,2.000000325905622045e+00,2.864310611694684994e+01,2.698607938818137697e+01,1.208113837720196170e+04,1.991515271356757655e+00
1.640000000000000000e+02,2.896142172828045247e+01,2.674497958148829468e+01,1.172166910360691691e+04,2.000000300822946553e+00,2.921296848940135504e+01,2.692401657788263236e+01,1.236778626237014942e+04,1.839979691849666921e+00
1.650000000000000000e+02,2.903392462397215112e+01,2.677691803422492356e+01,1.185912058534336211e+04,2.000000266210690825e+00,2.876304647054604402e+01,2.663302198756796457e+01,1.173960227197042332e+04,1.923802810237377647e+00
1.660000000000000000e+02,2.910700634222563465e+01,2.680911152744415205e+01,1.199730275964764769e+04,2.000000252423491442e+00,2.938647824608790771e+01,2.650861083623597381e+01,1.268297028455236614e+04,2.014862963829622711e+00
1.670000000000000000e+02,2.918064093958423655e+01,2.684154863643938427e+01,1.213614585786742282e+04,2.000000268402813752e+00,2.929612622941599653e+01,2.624864286887105536e+01,1.214909869728125523e+04,2.036621233095791794e+00
1.680000000000000000e+02,2.925480122435801889e+01,2.687421737830911184e+01,1.227558311008904093e+04,2.000000262080752211e+00,2.920780985506059224e+01,2.676551827672258455e+01,1.292141050851963519e+04,2.041747463425521936e+00
1.690000000000000000e+02,2.932945857195987216e+01,2.690710513650766700e+01,1.241554647313765781e+04,2.000000163184805224e+00,2.931722981411924067e+01,2.739118813895714766e+01,1.238079586151804142e+04,1.867951253994914573e+00
1.700000000000000000e+02,2.940458258056805363e+01,2.694019851959943068e+01,1.255595967324921003e+04,1.999999987900112464e+00,2.920814627193923485e+01,2.702717537389215963e+01,1.260532637661018271e+04,2.085468560396588789e+00
1.710000000000000000e+02,2.948014210449639805e+01,2.697348381813317886e+01,1.269674547679958050e+04,1.999999789552208584e+00,2.961396376494102256e+01,2.686156936092327996e+01,1.283595556752198900e+04,1.919978628312162705e+00
1.720000000000000000e+02,2.955610555013319640e+01,2.700694714894384774e+01,1.283782221983502677e+04,1.999999752521038454e+00,2.941961050603096339e+01,2.709996319084390848e+01,1.406210897179269341e+04,2.063285536150818444e+00
1.730000000000000000e+02,2.963243855951735384e+01,2.704057337921885917e+01,1.297910887518601703e+04,1.999999887089539019e+00,2.926475683038717790e+01,2.672838170861997042e+01,1.331057671997959187e+04,1.998936019487780547e+00
1.740000000000000000e+02,2.970910596784902680e+01,2.707434700738258471e+01,1.312052211617548346e+04,2.000000233124003213e+00,2.932572469555314143e+01,2.701488233484305823e+01,1.284213171895904452e+04,1.862361467172760188e+00
1.750000000000000000e+02,2.978607223728005238e+01,2.710825224908778708e+01,1.326200604711753294e+04,2.000000031286289115e+00,2.983784861259668730e+01,2.712814774369093485e+01,1.364753171557480709e+04,1.968380260333537857e+00
1.760000000000000000e+02,2.986330290296884016e+01,2.714227407629605793e+01,1.340347775893988364e+04,2.000000000933068289e+00,3.033703027989196954e+01,2.712505394593184960e+01,1.325798332804176061e+04,2.036536375156490664e+00
1.770000000000000000e+02,2.994076162511856154e+01,2.717639645378062596e+01,1.354485180449762447e+04,2.000000086666848809e+00,2.998875910919059251e+01,2.733455767811864234e+01,1.334584399503894929e+04,2.061296627370497792e+00
1.780000000000000000e+02,3.001841119875788166e+01,2.721060298130552013e+01,1.368605290113684532e+04,2.000000069723992357e+00,2.998281970092491733e+01,2.727953202655272946e+01,1.405910788946269349e+04,1.985901279488038629e+00
1.790000000000000000e+02,3.009621432195471868e+01,2.724487722279973312e+01,1.382700384831140036e+04,2.000000020338526863e+00,3.018196216383548247e+01,2.737854242642133329e+01,1.383989846456356463e+04,2.153177910956338703e+00
1.800000000000000000e+02,3.017413356585049300e+01,2.727920269157808519e+01,1.396762884996116918e+04,1.999999991025091850e+00,3.056593408836253900e+01,2.714152823513193269e+01,1.408436019937435231e+04,2.100751067671631667e+00
1.810000000000000000e+02,3.025213138610050478e+01,2.731356284825213976e+01,1.410785466124177037e+04,1.999999962177011037e+00,3.031794613650966141e+01,2.749312592993424786e+01,1.411377370556619462e+04,1.974334551022407069e+00
1.820000000000000000e+02,3.033017039423546990e+01,2.734794122228009883e+01,1.424760661816546781e+04,1.999999976740896468e+00,3.020689222498534932e+01,2.767372861180489707e+01,1.439147173763106002e+04,2.075012157082232633e+00
1.830000000000000000e+02,3.040821358298868660e+01,2.738232150960690348e+01,1.438681867886655891e+04,1.999999982392991038e+00,3.074010019600665444e+01,2.718829160567662129e+01,1.457023589820002780e+04,2.193379329209394157e+00
